artist,firstName,gender,itemSession,lastName,length,level,location,sessionId,song,userId
A Fine Frenzy,Anabelle,F,0,Simpson,267.91138,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",256,69
Nirvana,Aleena,F,0,Kirby,214.77832,paid,"Waterloo-Cedar Falls, IA",237,44
Television,Aleena,F,1,Kirby,238.49751,paid,"Waterloo-Cedar Falls, IA",237,44
JOHN COLTRANE,Aleena,F,2,Kirby,346.43546,paid,"Waterloo-Cedar Falls, IA",237,44
NOFX,Aleena,F,3,Kirby,80.79628,paid,"Waterloo-Cedar Falls, IA",237,44
The Backyardigans,Aleena,F,4,Kirby,158.85016,paid,"Waterloo-Cedar Falls, IA",237,44
Bruce Springsteen,Aleena,F,5,Kirby,202.84036,paid,"Waterloo-Cedar Falls, IA",237,44
Maroon 5,Aleena,F,6,Kirby,173.66159,paid,"Waterloo-Cedar Falls, IA",237,44
Two Door Cinema Club,Aleena,F,7,Kirby,189.67465,paid,"Waterloo-Cedar Falls, IA",237,44
Five Finger Death Punch,Aleena,F,8,Kirby,262.81751,paid,"Waterloo-Cedar Falls, IA",237,44
Josh Turner,Aleena,F,9,Kirby,207.93424,paid,"Waterloo-Cedar Falls, IA",237,44
At The Drive-In,Aleena,F,10,Kirby,207.46404,paid,"Waterloo-Cedar Falls, IA",237,44
Animal Collective,Aleena,F,11,Kirby,269.81832,paid,"Waterloo-Cedar Falls, IA",237,44
Ron Carter,Aleena,F,12,Kirby,497.13587,paid,"Waterloo-Cedar Falls, IA",237,44
Old 97's,Aleena,F,13,Kirby,231.28771,paid,"Waterloo-Cedar Falls, IA",237,44
Cyndi Lauper,Aleena,F,14,Kirby,226.32444,paid,"Waterloo-Cedar Falls, IA",237,44
Damien Rice,Aleena,F,15,Kirby,276.08771,paid,"Waterloo-Cedar Falls, IA",237,44
Alicia Keys,Aleena,F,16,Kirby,229.0673,paid,"Waterloo-Cedar Falls, IA",237,44
Lloyd Cole And The Commotions,Aleena,F,17,Kirby,235.31057,paid,"Waterloo-Cedar Falls, IA",237,44
John Mayer,Aleena,F,18,Kirby,269.71383,paid,"Waterloo-Cedar Falls, IA",237,44
Joshua Radin,Aleena,F,19,Kirby,161.69751,paid,"Waterloo-Cedar Falls, IA",237,44
Kings Of Leon,Aleena,F,20,Kirby,201.79546,paid,"Waterloo-Cedar Falls, IA",237,44
Incubus,Aleena,F,21,Kirby,257.25342,paid,"Waterloo-Cedar Falls, IA",237,44
Owl City,Aleena,F,22,Kirby,190.17098,paid,"Waterloo-Cedar Falls, IA",237,44
